epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_class_0_acc,val_class_0_acc,train_class_1_acc,val_class_1_acc,train_class_2_acc,val_class_2_acc,train_class_3_acc,val_class_3_acc,train_class_4_acc,val_class_4_acc,train_class_5_acc,val_class_5_acc,train_class_6_acc,val_class_6_acc,train_class_7_acc,val_class_7_acc,train_class_8_acc,val_class_8_acc,train_class_9_acc,val_class_9_acc,train_class_10_acc,val_class_10_acc,train_class_11_acc,val_class_11_acc,train_class_12_acc,val_class_12_acc,train_class_13_acc,val_class_13_acc,train_class_14_acc,val_class_14_acc,train_class_15_acc,val_class_15_acc,train_class_16_acc,val_class_16_acc,train_class_17_acc,val_class_17_acc,train_class_18_acc,val_class_18_acc,train_class_19_acc,val_class_19_acc,train_class_20_acc,val_class_20_acc,train_class_21_acc,val_class_21_acc,train_class_22_acc,val_class_22_acc,train_class_23_acc,val_class_23_acc,train_class_24_acc,val_class_24_acc,train_class_25_acc,val_class_25_acc
1,3.1211285190530584,2.71127469584627,8.693806511864839,19.340463458110516,9.428571428571429,60.66666666666667,3.428571428571429,0.0,5.6190476190476195,2.666666666666667,2.727272727272727,1.8181818181818181,31.80952380952381,2.666666666666667,0.0,0.0,3.428571428571429,0.0,0.5772005772005772,0.0,0.9966777408637874,0.0,7.6190476190476195,2.666666666666667,3.5271687321258343,72.66666666666667,2.571428571428571,0.0,4.190476190476191,32.666666666666664,4.666666666666667,14.000000000000002,6.0,2.666666666666667,0.6353240152477764,0.0,12.571428571428573,86.0,9.047619047619047,0.0,0.0,0.0,41.14285714285714,0.0,1.4705882352941175,0.0,9.523809523809524,14.000000000000002,4.666666666666667,51.33333333333333,13.079777365491651,4.545454545454546,0.0,0.0,19.25925925925926,95.55555555555556
2,2.5431743172126087,2.324695438708899,24.073523793352294,33.57100415923945,23.61904761904762,29.333333333333332,8.0,5.333333333333334,27.904761904761905,50.0,25.58441558441558,34.54545454545455,8.190476190476192,0.6666666666666667,0.5602240896358543,0.0,14.285714285714285,2.666666666666667,11.688311688311687,36.36363636363637,20.81949058693245,24.031007751937985,10.476190476190476,10.0,23.83222116301239,34.66666666666667,9.80952380952381,27.333333333333332,18.666666666666668,18.666666666666668,25.71428571428571,59.333333333333336,19.047619047619047,52.0,9.148665819567979,30.08849557522124,24.952380952380953,38.666666666666664,20.38095238095238,3.3333333333333335,0.0,0.0,47.904761904761905,74.66666666666667,9.033613445378151,16.176470588235293,35.42857142857142,35.333333333333336,47.333333333333336,66.0,42.11502782931355,55.1948051948052,1.098901098901099,0.0,79.36507936507937,90.37037037037037
3,2.215607647650287,1.9034414831197486,37.19913401536698,48.603683897801545,37.714285714285715,50.0,14.38095238095238,30.0,47.904761904761905,54.666666666666664,48.57142857142857,80.0,8.190476190476192,6.0,3.081232492997199,7.8431372549019605,17.42857142857143,14.000000000000002,41.55844155844156,53.535353535353536,39.8671096345515,66.66666666666666,23.238095238095237,31.333333333333336,31.935176358436607,65.33333333333333,18.666666666666668,20.0,29.523809523809526,30.666666666666664,41.714285714285715,62.66666666666667,26.190476190476193,40.0,47.01397712833545,70.79646017699115,27.23809523809524,32.0,27.714285714285715,18.666666666666668,0.0,0.0,60.285714285714285,78.0,22.689075630252102,33.82352941176471,57.14285714285714,74.66666666666667,66.47619047619048,84.0,62.152133580705005,75.32467532467533,11.355311355311356,10.256410256410255,86.56084656084656,89.62962962962962
4,2.0176793672851105,1.7934710709553845,44.475102941800735,51.99049316696376,49.238095238095234,66.0,21.428571428571427,18.666666666666668,53.333333333333336,44.666666666666664,65.71428571428571,85.45454545454545,14.476190476190476,13.333333333333334,17.92717086834734,45.09803921568628,21.523809523809522,32.666666666666664,49.06204906204906,70.70707070707071,53.156146179402,58.91472868217055,28.000000000000004,36.0,41.75405147759771,57.333333333333336,21.428571428571427,44.0,33.23809523809524,46.666666666666664,46.85714285714286,59.333333333333336,30.28571428571429,44.0,69.8856416772554,85.84070796460178,32.095238095238095,53.333333333333336,31.047619047619047,24.0,0.0,0.0,65.9047619047619,24.666666666666668,38.445378151260506,30.14705882352941,62.0,66.0,69.14285714285714,87.33333333333333,69.38775510204081,86.36363636363636,26.373626373626376,30.76923076923077,87.08994708994709,94.07407407407408
5,1.8408303726010207,1.6336990527386934,52.21802436643036,59.06120023767083,59.333333333333336,74.0,34.476190476190474,42.66666666666667,57.61904761904761,62.0,77.27272727272727,86.36363636363636,17.61904761904762,29.333333333333332,37.81512605042017,64.70588235294117,32.38095238095238,20.666666666666668,66.52236652236653,68.68686868686868,59.2469545957918,80.62015503875969,37.42857142857143,38.0,48.617731172545284,52.666666666666664,29.04761904761905,62.66666666666667,37.714285714285715,29.333333333333332,53.9047619047619,68.66666666666667,35.04761904761905,34.66666666666667,80.94027954256671,94.69026548672566,35.42857142857142,56.00000000000001,36.857142857142854,35.333333333333336,0.0,0.0,66.85714285714286,66.66666666666666,55.25210084033614,61.76470588235294,66.0952380952381,81.33333333333333,76.28571428571429,84.0,78.4786641929499,82.46753246753246,38.46153846153847,25.64102564102564,90.15873015873017,76.29629629629629
6,1.6978201523705874,1.531209554312364,58.81478965912468,63.84432560903149,64.0,82.66666666666667,42.76190476190476,46.0,65.9047619047619,61.33333333333333,83.8961038961039,90.9090909090909,26.0,30.666666666666664,60.22408963585434,80.3921568627451,38.761904761904766,54.666666666666664,78.21067821067821,96.96969696969697,71.42857142857143,86.82170542635659,48.38095238095238,31.333333333333336,54.52812202097236,59.333333333333336,35.333333333333336,40.666666666666664,39.714285714285715,46.0,58.76190476190476,72.66666666666667,36.857142857142854,42.0,87.67471410419314,93.80530973451327,41.42857142857143,66.66666666666666,41.333333333333336,36.0,0.0,0.0,70.0952380952381,29.333333333333332,64.70588235294117,76.47058823529412,74.85714285714286,76.0,78.66666666666666,92.0,82.93135435992579,89.6103896103896,58.97435897435898,64.1025641025641,91.42857142857143,93.33333333333333
7,1.5550212966717356,1.3381067874296657,65.72993165513435,73.49970291146761,72.76190476190476,74.66666666666667,57.61904761904761,67.33333333333333,71.33333333333334,82.0,90.64935064935065,99.0909090909091,35.80952380952381,40.0,80.67226890756302,96.07843137254902,48.38095238095238,66.66666666666666,85.13708513708514,95.95959595959596,78.62679955703211,93.7984496124031,60.1904761904762,66.66666666666666,61.58245948522403,76.66666666666667,42.19047619047619,45.33333333333333,49.142857142857146,48.0,65.52380952380953,84.66666666666667,43.238095238095234,52.0,92.37611181702668,100.0,45.42857142857143,69.33333333333334,43.714285714285715,36.666666666666664,0.0,0.0,71.71428571428572,80.0,73.10924369747899,84.55882352941177,79.71428571428572,72.0,83.9047619047619,80.66666666666666,86.92022263450835,94.15584415584416,69.59706959706959,82.05128205128204,91.005291005291,97.03703703703704
8,1.410116851814394,1.218650518723254,72.77242433247018,78.46108140225788,78.38095238095238,94.0,70.19047619047619,75.33333333333333,78.0,86.66666666666667,93.24675324675324,99.0909090909091,48.57142857142857,62.66666666666667,86.5546218487395,98.0392156862745,61.523809523809526,70.0,92.4963924963925,98.98989898989899,90.36544850498339,92.24806201550388,70.95238095238095,77.33333333333333,67.68350810295519,82.0,51.90476190476191,41.333333333333336,53.61904761904762,55.333333333333336,72.09523809523809,71.33333333333334,50.38095238095238,63.33333333333333,95.55273189326556,100.0,51.42857142857142,67.33333333333333,49.904761904761905,54.666666666666664,0.0,0.0,76.47619047619048,70.0,79.72689075630252,82.35294117647058,85.80952380952381,92.66666666666666,86.38095238095238,91.33333333333333,91.00185528756958,95.45454545454545,80.95238095238095,74.35897435897436,93.86243386243386,97.03703703703704
9,1.2957174639068645,1.1250213002258878,78.30368892473575,83.184789067142,84.28571428571429,83.33333333333334,77.42857142857143,91.33333333333333,85.71428571428571,86.0,95.84415584415584,99.0909090909091,62.1904761904762,60.66666666666667,90.19607843137256,98.0392156862745,71.9047619047619,84.0,94.66089466089466,100.0,90.91915836101883,99.2248062015504,77.90476190476191,87.33333333333333,74.92850333651097,86.66666666666667,59.523809523809526,64.66666666666666,61.04761904761905,56.00000000000001,76.47619047619048,78.0,59.904761904761905,71.33333333333334,94.91740787801778,99.11504424778761,56.19047619047619,82.66666666666667,57.333333333333336,64.66666666666666,0.0,0.0,77.04761904761904,62.66666666666667,87.07983193277312,88.97058823529412,88.66666666666667,92.0,90.19047619047619,92.0,93.22820037105751,93.5064935064935,89.01098901098901,100.0,95.02645502645503,98.51851851851852
10,1.1951043281128737,1.0356928717415288,83.57600713163815,86.72014260249554,89.23809523809524,97.33333333333334,84.0952380952381,94.0,88.38095238095238,96.0,95.71428571428572,99.0909090909091,75.42857142857143,62.66666666666667,96.07843137254902,98.0392156862745,80.66666666666666,91.33333333333333,97.97979797979798,100.0,95.34883720930233,96.89922480620154,86.47619047619047,84.66666666666667,81.31553860819828,90.0,70.76190476190476,70.0,68.0,73.33333333333333,82.38095238095238,90.66666666666666,66.66666666666666,62.66666666666667,96.69631512071156,100.0,65.04761904761904,42.0,61.238095238095234,78.66666666666666,0.0,0.0,80.28571428571428,94.0,89.70588235294117,98.52941176470588,91.33333333333333,87.33333333333333,92.76190476190476,95.33333333333334,94.89795918367348,99.35064935064936,90.47619047619048,94.87179487179486,96.4021164021164,99.25925925925925
11,1.1299459620866026,1.017121839073469,86.5645031200917,88.91859774212716,91.04761904761904,96.66666666666667,87.23809523809524,92.66666666666666,93.14285714285714,98.66666666666667,97.14285714285714,100.0,78.76190476190476,83.33333333333334,96.63865546218487,100.0,85.23809523809524,92.66666666666666,97.97979797979798,100.0,95.12735326688815,97.67441860465115,88.09523809523809,94.66666666666667,85.12869399428027,86.0,75.90476190476191,83.33333333333334,75.14285714285714,86.0,86.66666666666667,84.66666666666667,72.47619047619047,74.66666666666667,96.95044472681067,100.0,69.42857142857143,61.33333333333333,69.14285714285714,80.0,0.0,0.0,82.47619047619048,93.33333333333333,91.49159663865547,82.35294117647058,92.57142857142857,79.33333333333333,93.71428571428572,82.66666666666667,96.1038961038961,99.35064935064936,92.67399267399267,100.0,96.71957671957672,100.0
12,1.0763946650474052,0.8939037615398191,89.13698688287982,93.01841948900773,94.0,96.66666666666667,92.0952380952381,97.33333333333334,94.85714285714286,98.66666666666667,97.92207792207792,100.0,85.80952380952381,96.0,96.35854341736695,100.0,89.42857142857143,94.0,97.25829725829726,100.0,96.3455149501661,99.2248062015504,91.80952380952381,94.66666666666667,87.7025738798856,92.66666666666666,80.19047619047619,86.66666666666667,79.9047619047619,92.0,90.47619047619048,96.0,79.23809523809524,84.66666666666667,97.96696315120712,100.0,72.57142857142857,72.66666666666667,71.23809523809524,86.0,0.0,0.0,84.85714285714285,77.33333333333333,92.12184873949579,94.85294117647058,91.71428571428571,95.33333333333334,94.85714285714286,96.0,95.91836734693877,97.40259740259741,92.3076923076923,100.0,97.88359788359789,94.07407407407408
13,0.992615396575876,0.85090871014685,92.74950120983148,95.09803921568627,96.0952380952381,100.0,95.04761904761905,98.0,96.95238095238096,98.0,98.31168831168831,100.0,91.71428571428571,96.66666666666667,96.35854341736695,100.0,93.04761904761905,96.66666666666667,98.55699855699855,100.0,97.89590254706533,100.0,95.14285714285714,97.33333333333334,92.46901811248809,91.33333333333333,88.09523809523809,95.33333333333334,86.57142857142858,86.66666666666667,93.61904761904762,95.33333333333334,85.23809523809524,92.0,99.23761118170266,100.0,78.95238095238095,83.33333333333334,79.9047619047619,84.66666666666667,0.0,0.0,87.61904761904762,84.0,95.48319327731093,97.79411764705883,95.14285714285714,94.0,97.23809523809524,100.0,97.95918367346938,98.7012987012987,95.97069597069597,100.0,97.24867724867725,100.0
14,0.9505066240059974,0.8181969152306611,94.79560215647153,95.60308972073678,96.38095238095238,98.66666666666667,96.85714285714285,99.33333333333333,97.42857142857143,98.0,99.35064935064936,100.0,95.23809523809523,98.0,96.9187675070028,100.0,96.0952380952381,97.33333333333334,99.42279942279943,100.0,98.00664451827242,100.0,96.95238095238096,98.66666666666667,94.37559580552907,98.0,90.38095238095238,93.33333333333333,90.57142857142857,93.33333333333333,95.52380952380952,96.66666666666667,87.42857142857143,92.0,99.23761118170266,100.0,84.66666666666667,92.66666666666666,84.38095238095238,57.99999999999999,0.0,0.0,90.66666666666666,92.66666666666666,97.47899159663865,100.0,97.52380952380952,96.66666666666667,98.38095238095238,98.66666666666667,98.33024118738405,100.0,97.8021978021978,100.0,99.04761904761905,99.25925925925925
15,0.9167380924147319,0.7661842703819275,96.14976440123955,98.1283422459893,97.42857142857143,100.0,97.42857142857143,98.66666666666667,98.28571428571429,99.33333333333333,99.48051948051948,100.0,97.04761904761905,99.33333333333333,98.8795518207283,100.0,97.14285714285714,98.0,99.13419913419914,100.0,99.33554817275747,100.0,98.38095238095238,99.33333333333333,97.14013346043852,98.0,93.23809523809524,98.0,92.76190476190476,98.66666666666667,97.04761904761905,98.66666666666667,92.38095238095238,94.66666666666667,99.61880559085134,100.0,87.23809523809524,90.0,86.57142857142858,96.0,0.0,0.0,92.47619047619048,93.33333333333333,97.37394957983193,100.0,97.90476190476191,97.33333333333334,98.47619047619047,98.66666666666667,98.42300556586271,100.0,97.8021978021978,100.0,99.36507936507937,100.0
16,0.8984592035210875,0.7526580342706645,96.76529269431592,97.92038027332146,98.09523809523809,99.33333333333333,97.52380952380952,98.66666666666667,98.28571428571429,99.33333333333333,99.74025974025975,100.0,96.95238095238096,99.33333333333333,98.0392156862745,100.0,98.47619047619047,98.0,99.42279942279943,100.0,99.44629014396456,100.0,97.80952380952381,98.66666666666667,97.14013346043852,98.66666666666667,95.80952380952381,97.33333333333334,94.19047619047619,96.66666666666667,97.42857142857143,98.0,93.33333333333333,97.33333333333334,99.49174078780177,100.0,88.57142857142857,91.33333333333333,90.0952380952381,92.66666666666666,0.0,0.0,92.0,89.33333333333333,98.94957983193278,100.0,98.66666666666667,99.33333333333333,98.76190476190476,100.0,98.14471243042672,99.35064935064936,98.9010989010989,100.0,99.47089947089947,100.0
17,0.8758970671876013,0.7530217508100113,97.32988071486183,98.54426619132501,99.14285714285714,99.33333333333333,98.28571428571429,99.33333333333333,98.57142857142858,99.33333333333333,99.48051948051948,100.0,98.0,99.33333333333333,99.15966386554622,100.0,97.23809523809524,97.33333333333334,99.42279942279943,100.0,100.0,100.0,98.47619047619047,100.0,97.14013346043852,98.0,95.04761904761905,98.66666666666667,96.47619047619047,99.33333333333333,97.90476190476191,98.66666666666667,93.9047619047619,94.66666666666667,99.11054637865311,100.0,91.42857142857143,91.33333333333333,91.71428571428571,97.33333333333334,0.0,0.0,94.66666666666667,96.66666666666667,98.6344537815126,99.26470588235294,98.0,99.33333333333333,99.23809523809524,100.0,99.16512059369202,100.0,98.53479853479854,100.0,98.94179894179894,99.25925925925925
18,0.855696094552999,0.7373416614982317,98.0770047119752,98.51455733808675,99.04761904761905,100.0,99.04761904761905,99.33333333333333,99.23809523809524,100.0,99.35064935064936,100.0,97.80952380952381,100.0,99.71988795518207,100.0,98.47619047619047,97.33333333333334,99.42279942279943,100.0,99.44629014396456,100.0,99.04761904761905,98.66666666666667,97.80743565300286,98.66666666666667,96.85714285714285,99.33333333333333,96.76190476190476,100.0,98.95238095238095,99.33333333333333,96.66666666666667,97.33333333333334,99.74587039390089,100.0,93.9047619047619,98.66666666666667,94.38095238095238,88.66666666666667,0.0,0.0,95.42857142857143,92.0,98.52941176470588,100.0,98.76190476190476,100.0,98.85714285714286,99.33333333333333,99.53617810760667,98.05194805194806,98.9010989010989,100.0,99.47089947089947,100.0
19,0.840735576663237,0.717841091021052,98.66706286878635,99.19786096256684,99.71428571428571,100.0,99.14285714285714,99.33333333333333,99.14285714285714,99.33333333333333,100.0,100.0,98.95238095238095,99.33333333333333,98.8795518207283,100.0,99.42857142857143,98.66666666666667,99.71139971139971,100.0,99.77851605758582,100.0,99.23809523809524,100.0,99.14204003813155,98.66666666666667,98.19047619047619,100.0,98.19047619047619,99.33333333333333,99.33333333333333,99.33333333333333,97.52380952380952,98.0,99.74587039390089,100.0,94.95238095238095,96.0,95.33333333333334,98.0,0.0,0.0,96.0952380952381,98.0,98.94957983193278,100.0,99.71428571428571,99.33333333333333,99.14285714285714,98.66666666666667,99.35064935064936,100.0,98.53479853479854,100.0,99.7883597883598,100.0
20,0.8287798090355829,0.7146871899658779,98.93874432228212,99.01960784313727,99.42857142857143,99.33333333333333,99.04761904761905,99.33333333333333,99.14285714285714,100.0,99.87012987012987,100.0,99.23809523809524,100.0,99.15966386554622,96.07843137254902,99.33333333333333,98.66666666666667,99.85569985569985,100.0,99.66777408637874,100.0,99.80952380952381,100.0,99.0467111534795,98.66666666666667,98.76190476190476,100.0,97.90476190476191,100.0,99.14285714285714,97.33333333333334,97.52380952380952,97.33333333333334,99.74587039390089,100.0,96.76190476190476,96.0,96.38095238095238,99.33333333333333,0.0,0.0,97.42857142857143,96.0,99.47478991596638,100.0,99.61904761904762,99.33333333333333,99.42857142857143,98.0,99.90723562152134,100.0,99.26739926739927,100.0,99.89417989417989,100.0
21,0.8208663482976154,0.7025253930181827,99.14675043511482,99.43553178847296,99.80952380952381,100.0,99.23809523809524,99.33333333333333,99.61904761904762,100.0,99.87012987012987,100.0,98.76190476190476,100.0,99.15966386554622,96.07843137254902,99.52380952380952,98.66666666666667,99.85569985569985,100.0,99.77851605758582,100.0,99.80952380952381,100.0,99.33269780743565,98.66666666666667,98.76190476190476,100.0,98.85714285714286,100.0,98.95238095238095,98.66666666666667,98.19047619047619,97.33333333333334,100.0,100.0,97.04761904761905,98.0,97.80952380952381,100.0,0.0,0.0,98.47619047619047,98.0,99.26470588235294,100.0,99.23809523809524,100.0,99.52380952380952,100.0,99.81447124304268,100.0,98.16849816849816,100.0,99.89417989417989,100.0
22,0.8133788905169582,0.6916222741019051,99.24014093475401,99.61378490790256,99.61904761904762,100.0,99.80952380952381,99.33333333333333,99.52380952380952,100.0,100.0,100.0,99.23809523809524,100.0,99.43977591036415,100.0,99.61904761904762,98.66666666666667,99.85569985569985,100.0,99.77851605758582,100.0,99.52380952380952,100.0,99.33269780743565,98.66666666666667,99.23809523809524,100.0,99.14285714285714,100.0,99.61904761904762,100.0,98.85714285714286,98.0,99.87293519695044,100.0,97.42857142857143,98.0,97.90476190476191,99.33333333333333,0.0,0.0,96.66666666666667,99.33333333333333,99.68487394957984,100.0,99.42857142857143,100.0,99.90476190476191,100.0,99.72170686456401,100.0,98.16849816849816,100.0,99.68253968253968,100.0
23,0.8027791054591253,0.6897371523785141,99.59672284246722,99.67320261437908,99.80952380952381,100.0,99.61904761904762,99.33333333333333,99.61904761904762,100.0,100.0,100.0,99.23809523809524,100.0,100.0,100.0,99.61904761904762,98.66666666666667,99.85569985569985,100.0,100.0,100.0,99.71428571428571,100.0,99.61868446139181,98.66666666666667,99.52380952380952,100.0,99.42857142857143,100.0,99.80952380952381,100.0,99.14285714285714,98.0,100.0,100.0,98.66666666666667,98.0,99.23809523809524,100.0,0.0,0.0,98.95238095238095,100.0,99.89495798319328,100.0,99.52380952380952,100.0,99.90476190476191,100.0,100.0,100.0,98.9010989010989,100.0,100.0,100.0
24,0.7978361137514192,0.6890977666063128,99.52880247909326,99.64349376114082,99.52380952380952,100.0,99.33333333333333,99.33333333333333,99.90476190476191,100.0,99.87012987012987,100.0,99.33333333333333,100.0,98.8795518207283,100.0,99.52380952380952,98.66666666666667,100.0,100.0,99.88925802879291,100.0,99.90476190476191,100.0,99.90467111534795,98.66666666666667,99.04761904761905,100.0,99.23809523809524,100.0,99.71428571428571,100.0,99.33333333333333,97.33333333333334,100.0,100.0,98.85714285714286,98.66666666666667,99.14285714285714,100.0,0.0,0.0,98.47619047619047,99.33333333333333,99.78991596638656,100.0,99.80952380952381,100.0,99.52380952380952,100.0,100.0,100.0,98.9010989010989,100.0,99.89417989417989,100.0
25,0.7923346063308923,0.6869887968279281,99.57125270620197,99.61378490790256,99.71428571428571,100.0,99.71428571428571,99.33333333333333,99.80952380952381,100.0,100.0,100.0,99.42857142857143,100.0,99.43977591036415,100.0,99.71428571428571,98.66666666666667,100.0,100.0,100.0,100.0,99.52380952380952,100.0,99.80934223069589,98.66666666666667,99.33333333333333,100.0,99.33333333333333,99.33333333333333,99.61904761904762,99.33333333333333,98.85714285714286,97.33333333333334,100.0,100.0,99.33333333333333,99.33333333333333,98.57142857142858,99.33333333333333,0.0,0.0,98.95238095238095,100.0,99.57983193277312,100.0,99.80952380952381,100.0,99.90476190476191,100.0,99.90723562152134,100.0,99.63369963369964,100.0,99.68253968253968,100.0
26,0.7886662798199228,0.6828016706232755,99.72407352379335,99.61378490790256,100.0,100.0,100.0,99.33333333333333,99.71428571428571,100.0,99.87012987012987,100.0,99.71428571428571,100.0,100.0,96.07843137254902,99.71428571428571,98.66666666666667,99.85569985569985,100.0,99.77851605758582,100.0,99.80952380952381,100.0,99.80934223069589,98.0,99.23809523809524,100.0,99.52380952380952,100.0,99.90476190476191,100.0,99.14285714285714,98.0,100.0,100.0,99.42857142857143,98.66666666666667,99.33333333333333,100.0,0.0,0.0,99.61904761904762,100.0,99.78991596638656,100.0,99.90476190476191,100.0,99.80952380952381,100.0,99.90723562152134,100.0,99.63369963369964,100.0,99.89417989417989,100.0
27,0.7843167474922449,0.6839257973545002,99.63068302415418,99.64349376114082,99.80952380952381,100.0,99.61904761904762,99.33333333333333,99.71428571428571,100.0,100.0,100.0,99.71428571428571,100.0,99.71988795518207,100.0,99.80952380952381,98.66666666666667,99.85569985569985,100.0,100.0,100.0,99.80952380952381,100.0,99.4280266920877,98.66666666666667,99.23809523809524,100.0,99.42857142857143,100.0,99.61904761904762,100.0,99.61904761904762,98.0,100.0,100.0,98.66666666666667,99.33333333333333,99.04761904761905,99.33333333333333,0.0,0.0,99.52380952380952,99.33333333333333,99.78991596638656,100.0,99.61904761904762,99.33333333333333,99.71428571428571,100.0,100.0,100.0,99.26739926739927,100.0,99.89417989417989,100.0
28,0.7826688485093879,0.6767375143069141,99.7750137963238,99.70291146761735,99.90476190476191,99.33333333333333,99.71428571428571,99.33333333333333,99.61904761904762,100.0,100.0,100.0,99.71428571428571,100.0,100.0,100.0,99.71428571428571,98.66666666666667,100.0,100.0,100.0,100.0,100.0,100.0,99.71401334604386,98.66666666666667,99.80952380952381,100.0,99.90476190476191,100.0,99.61904761904762,100.0,99.52380952380952,98.0,100.0,100.0,99.52380952380952,99.33333333333333,99.33333333333333,100.0,0.0,0.0,99.52380952380952,100.0,99.89495798319328,100.0,99.80952380952381,100.0,99.80952380952381,100.0,99.90723562152134,100.0,99.63369963369964,100.0,100.0,100.0
29,0.7775891428071309,0.6856090246506457,99.7750137963238,99.64349376114082,99.90476190476191,100.0,99.90476190476191,99.33333333333333,100.0,100.0,100.0,100.0,99.52380952380952,100.0,100.0,100.0,100.0,98.66666666666667,100.0,100.0,99.88925802879291,100.0,99.71428571428571,100.0,99.61868446139181,98.66666666666667,99.52380952380952,100.0,99.80952380952381,100.0,99.71428571428571,100.0,99.61904761904762,98.0,99.87293519695044,100.0,99.61904761904762,99.33333333333333,99.61904761904762,99.33333333333333,0.0,0.0,99.80952380952381,98.66666666666667,99.47478991596638,100.0,99.80952380952381,100.0,99.80952380952381,100.0,99.90723562152134,100.0,99.63369963369964,100.0,99.7883597883598,100.0
30,0.7760143420560573,0.6744811264973767,99.80472895529992,99.64349376114082,99.80952380952381,100.0,99.80952380952381,99.33333333333333,100.0,100.0,100.0,100.0,99.71428571428571,100.0,100.0,100.0,99.61904761904762,98.66666666666667,100.0,100.0,100.0,100.0,99.80952380952381,100.0,99.90467111534795,98.66666666666667,99.61904761904762,100.0,99.61904761904762,100.0,99.71428571428571,100.0,99.80952380952381,98.0,99.87293519695044,100.0,99.23809523809524,98.66666666666667,99.80952380952381,99.33333333333333,0.0,0.0,99.61904761904762,99.33333333333333,99.68487394957984,100.0,100.0,100.0,99.90476190476191,100.0,100.0,100.0,100.0,100.0,100.0,100.0
